,44
"Bert Clark and Mabel Hamilton, England's Musical Comedy Stars",2
Louis Mann,2
"The Six American Dancers, A Sextette of Stylish Steppers",2
Fredrika Slemons and Company,2
John C. Rice and Sally Cohen,2
Mlle. Martha and Sisters,2
Ward de Wolf,2
John C. Rice,2
"The Grazers, In a Musical and Terpsichorean Novelty",2
Charles Dale,2
The Avon Comedy Four,2
Willard Mack,2
"Lynch and Zeller, The Bang! Bang! Boys, Clubmaniacs",2
Grace La Rue,2
Muriel Morgan,2
Percy Wenrich,2
"Bert Melrose, The International Dare-Devil Clown",2
Sam and Kitty Morton,2
Thomas A. Edison,2
Victor Moore and Emma Littlefield,2
Lee Smith,2
H. Von Tilzer,2
Lina Haenseler,2
Marie Kierschner,2
Heinrich Matthaes,2
Otto Stoeckel,2
Annie Simson,2
Auguste Burmester,2
Heinrich Falk,2
Ernst Robert,2
Rudolph Aicher,2
Marie Kirschner,2
Grete Meyer,2
Ernst Holznagel,2
Nellie Brewster,2
Frank Rushworth,2
William Heidloff,2
Kate Elinore,2
Eva Taylor,2
Louise Galloway,2
Lee Chapin,2
Olga Zalceff,2
"Edwin George, Comedian and Almost Juggler",2
Joseph Jefferson,2
May Hopkins ,2
Joseph H. Woodward,2
Ida May Chadwick,2
Paul Morton (of the Four Mortons) and Naomi Glass,2
"The Three Keatons, Joe, Myra and Buster, Fun's Funniest Family",2
Lulu Glaser,2
Charles Reisner and Henrietta Gores,2
"Hank Brown, Viola Harris, and F. Cann Brown, In ""Just To Laugh--That's All""",2
Valerie Bergere Players,2
Emmet Brisco,2
Mrs. Gardner Crane,2
Gardner Crane,2
A. Lemon,2
"Ismed, Sensational Turkish Piano Wizard",2
Claud and Fannie Usher,2
"Miller, Moore and Peters",2
Jack E. Gardner,2
A. Seymour Brown,2
"Will and Kemp, Acrobatic Oddities",2
Mary Nash,2
"Joe Welch, The Eminent Character Comedian",2
Harriet Rempel,2
Walter Woodall,2
"Courtney Sisters:  Fay and Florence, Songs",2
Katharine Kavanaugh,2
Margaret Murphy,2
Al Leech,2
"Maggie Cline, The Irish Queen",2
Arthur Black,2
Paul M. Brown,2
Wm. Hlavac,2
Mr. Crane,2
Mabel and Edith Taliaferro,2
"Wilbur C. Sweatman, Original Ragtime Clarionetist",2
"Fred Duprez, Monologist and Singing Comedian",2
Edith Speare,2
Claude Gillingwater,2
Edith Lyle,2
Dorothy Regel,2
Edna Ross,2
Rawls and Von Kaufman,2
"Bessie Wynn, The Lady Dainty",2
"Three Mori Brothers, Japan's Premier Entertainers",2
Caesar Rivoli,2
George Felix,2
Harry Smith,2
Ralph Lynn,2
Belle Blanche,2
Francis McGinn and Company,2
"Belle Blanche, The Prima Donna Comedienne",2
Harry Woodruff and Company,2
Kluting's Entertainers,2
Joe Jackson,2
Corinne Sayles,2
J. Francis Dooley,2
Truly Shattuck,2
Hal Davis,2
Sara Lewis,2
Inez Macauley,2
James M. Brophy,2
"Miss Norton and Paul Nicholson, In a Dramatic Cartoon by Miss Norton",2
Thos. A. Wise and Co.,2
Blanche Sloan,2
Dolce Sisters,2
Those Four Entertainers,2
Madden and Fitzpatrick,2
Lewis B. Madden,2
Teresa Allen,2
"The Peers, World's Greatest Comedy Bar Gymnasts",2
"Mary Elizabeth, The Dainty Boston Comedienne",2
Ralph Remley,2
Wm. H. Turner,2
W. H. Barry,2
Gus Edwards,2
"Erna and Anton Baliots, Gymnastic Novelty",2
"Billy Halligan and Dama Sykes, A Natural Comedian, and a Pretty Girl",2
Chas. C. Drew and Company,2
Minni Amato,2
Joe Wolf,2
Walter D. Nealand,2
Sterling Cheseldine,2
Jane Hood,2
Clara Lloyd,2
Frederick Macklyn,2
John Wray,2
"McMahon, Diamond and Clemence",2
"Sutton, McIntyre and Sutton",2
Sousa,2
Lillian Whiting,2
Fleurette,2
"Anna Chandler, In a Repertoire of Versatility",2
Dr. Carl Herman,2
Elsie Janis,2
"The Bracks, A Classy Risley Novelty",2
"Herbert Ashley and Al Lee, In a Fantastical Duologue, ""A Night in Chinatown""",2
"Jas. Dutton and Company, Society Equestrians",2
Helen Wilton,2
Bernard Woods,2
Jack Dean,2
Ollie Woods,2
James F. Dolan and Ida Lenharr,2
Jessie Buckley,2
Hugh Mack,2
Billie De Hon,2
Jack Rice,2
"Sally Daly, Ruth Hanson, Zoe Brown, Belle Snow, Grace Russell, Eva Burnett, Gertie O'Connor, Lillian Elliot, Isabella Burnside, Gertie Hudson",2
Adelaide Herrmann,2
Daisy Rudd,2
Diane Oste,2
Mr. Jess Dandy,2
La Scala Grand Opera Co.,2
Anna Orr,2
Margaret Poir,2
Fred Mason Emerson,2
Gertrude Aldrich,2
Edward Metcalfe,2
George Romain,2
Gertrude Barnard,2
George E. Mack,2
Josephine Poore,2
Charles Withers,2
Ralph Marthy,2
Robert N. Downing,2
W. J. McCarthy,2
Mr. Percy Weller,2
Victor Bozart,2
Joe Rogers,2
Jay Melville,2
Gertie Hudson,2
Belle Snow,2
Halle Crouse,2
Viola Williams,2
William Montgomery,2
Carter De Haven,2
Virginia Evans,2
Florence Moore,2
Harry Cooper,2
Max Rogers,2
Bobby North,2
Flo May,2
Myrtle Gilbert,2
Seymour Felix and Amelia Caire,2
Hanlon Brothers and Company,2
Carrie Demar,2
Clara Sexton,2
Horace Weston,2
Frank Watson,2
Jean Adair,2
Louise Carver,2
Thomas Murray,2
Vernon Castle,2
