,2036
Color Sergeant,2
Annette,2
American Vivandiere,2
Eva Taylor,2
Dancing Adonis,2
Louise Galloway,2
Robert Sanford,2
the widow,2
alto ,2
The Pink Lady,2
Lee Chapin,2
Olga Zalceff,2
May Hopkins ,2
Joseph H. Woodward,2
an actor,2
Marie Wayne,2
Emmet Brisco,2
Hotel Clerk,2
Mrs. Gardner Crane,2
Gardner Crane,2
A. Lemon,2
Thomas  ,2
Harriet Rempel,2
Walter Woodall,2
The Girl  ,2
Martin ,2
the butler,2
Katharine Kavanaugh,2
Al Leech,2
American College Students,2
Cornet Soloist,2
Arthur Black,2
Euphoneum,2
Paul M. Brown,2
Monster Tuba,2
Wm. Hlavac,2
Jim Briggs,2
a Broker,2
Jack Monroe,2
Daisy Moore,2
Jane Monroe,2
Tom's wife,2
Mr. Crane,2
Twin Brothers,2
Edith Speare,2
Edna Ross,2
one of the elopers,2
Toinette,2
Senator Henry Joseph Hallenberg,2
Harry Smith,2
O Chicka San,2
Madam Darling,2
(Short play),2
Performer of Overture,2
Hal Davis,2
Sara Lewis,2
Mrs. Henry Bull,2
Inez Macauley,2
Mary Butts,2
James M. Brophy,2
full of business,2
Hector,2
his assistant,2
"""Spareribs""",2
Lewis B. Madden,2
Peter Clancy,2
Teresa Allen,2
Ralph Remley,2
Ruxton St. Clair,2
Ye Prologue,2
Wm. H. Turner,2
W. H. Barry,2
Gus Edwards,2
Pierrette,2
Le Baron,2
Odette's protector,2
Liane,2
Odette,2
an adventuress,2
Joe Wolf,2
Hardly Able,2
Arthur Hoops,2
A Visitor,2
Walter D. Nealand,2
A Crook,2
Sterling Cheseldine,2
An Official,2
The Servant,2
Gabrielle,2
Jane Hood,2
Member of the Smithonian Sextette,2
Clara Lloyd,2
Frederick Macklyn,2
Jordan King,2
Rosalind Coghlan,2
Violet Granger,2
John Wray,2
Count Boni de Gaumont,2
Sousa,2
Lillian Whiting,2
Helen Wilton,2
Carolyn Hall,2
Mary Kendall,2
March,2
Bernard Woods,2
a student,2
Jack Dean,2
a brainless chauffeur,2
Ollie Woods,2
Ollie,2
a fair co-ed,2
Mme. De Shane,2
Hugh Mack,2
the patient,2
Dr. Whitney,2
Sarah Dawson,2
the head nurse,2
Nurse,2
Billie De Hon,2
Jack Rice,2
"Sally Daly, Ruth Hanson, Zoe Brown, Belle Snow, Grace Russell, Eva Burnett, Gertie O'Connor, Lillian Elliot, Isabella Burnside, Gertie Hudson",2
Tennis Girls,2
Daisy Rudd,2
Diane Oste,2
Mr. Jess Dandy,2
Anna Orr,2
Vivian,2
Margaret Poir,2
Fred Mason Emerson,2
Hiram Sharp,2
representing a committee of creditors,2
Phil Faraday,2
Doctor Arbutus Budd,2
Gertrude Aldrich,2
Miss Montmorency,2
Edward Metcalfe,2
Garibaldi Panatella,2
landlord of the inn,2
George Romain,2
Caramba Maldanado,2
a Corsican duelist,2
Gertrude Barnard,2
The Souvenir Girl,2
George E. Mack,2
a seminary girl,2
Louis J. Winsch,2
Robert Lemon,2
who chanced to be there,2
Charles Withers,2
