Frederick G. Latham,2
Harry Auracher,2
Company Manager,2
Joe W. Spears,2
Samuel Forrest,2
Spencer Charters,2
Augustus Pitou  ,2
Paul Herve,2
Jean Briquet and Adolf Philipp,2
Adolf Philipp,2
Uniforms,2
Scenery painting,2
Milton S. Harris,2
August Schulz,2
Conrad Mueller,2
Max Margulies,2
Edw. Lynch,2
Scenic Artists,2
Gustav Luders,2
David Marion,2
Joseph Wilson,2
Max & Mahieu and Madame Ripley,2
Wallace Irwin,2
W. J. Wilson and R. H. Burnside,2
George Engles,2
Songwriter,2
Maurice Greet,2
Samuel Reid,2
J. Cooper,2
Conductor and Composer,2
Henry Miller,2
Cellist of the Olcott Company,2
Herman Steisel,2
John J. Osborne,2
Willis Maxwell Goodhue,2
Assistant Properties,2
Propmaster,2
Arthur Spits,2
Emmerich Kalman,2
Authors,2
Charles D. Brown,2
Secretary,2
Charles Frohman,2
Joseph Brooks,2
Frank Young,2
R. N. Harris,2
F. S. Finnegan,2
H. O. Chaffee,2
Robt. Costello,2
"John Fox, Jr.",2
J. Arthur Clary,2
Edwin A. Relkin,2
Novelist,2
Mr. Mack Whiting,2
Charles Previn,2
F. Holmes,2
James Coppinger,2
Harry George,2
Mme. Mack,2
Oscar Hammerstein,2
Gus Hill,2
Geo. McManus,2
James Boland,2
Dodge & Castle,2
Sam Myers,2
Max & Mahieu,2
Harry B. Smith,2
Mr. George A. Nichols,2
David Atcheson,2
Color Schemes,2
Notes,2
Scenery designer and painter,2
Herbert Kerr,2
William Kellam,2
Henry E. Smith,2
Harry Bryant,2
Charles Cheney,2
Buell Scenic Studio,2
Mme. Haverstick,2
Henri Bendel,2
"Christine, Inc.",2
Chrisdie,2
William Faversham,2
May Marlowe,2
Thomas J. Gray and Max S. Witt,2
John Stout,2
Madame Keeler,2
Jack Frees,2
Jack Lait,2
Addison Pitt,2
Minna Phillips' Players,2
Scenery builder,2
Chas. Goddard and Paul Dickey,2
"William Harris, Jr.",2
Holbrook Blinn,2
Hudson Construction Co.,2
Messrs. Shubert,2
Walter S. Powell,2
Gown Designer,2
Herman Bahr,2
Leo Ditrichstein,2
Charles J. Carson,2
Louis Hartman,2
James Kearney,2
James Forbes,2
Robert Entwistle,2
Presenter,2
The Popular Motion Picture Co.,2
Herbert Gresham,2
Julian Mitchell,2
Robert Milton,2
Frederic Thompson,2
character,2
Dodge and Castle,2
Ben Stern,2
Business Manager for Company,2
Business Manager with Company,2
Percival T. Moore,2
Rose Stahl,2
Company Stage Director,2
Joseph Monahan,2
Anna Springer,2
Christie MacDonald,2
Jack Gibson,2
Joseph George,2
Campbell B. Casad,2
Frank O'Rourke,2
D. Frank Dodge,2
Borjenski,2
Owen Hitchins,2
William Parke,2
Ed. N. McDowell,2
W. H. Leyden,2
W. McPherson,2
Walter S. Baldwin,2
Costumier,2
Sam Freefield,2
Ned Holmes,2
George W. Barnum,2
Jerome D. Kern,2
Joseph W. Herbert,2
Rida Johnson Young and Paul West,2
J. C. Fireman,2
Dazian,2
Translator,2
Ferike Boros,2
Ferencz Herczeg,2
Whitaker Ray,2
Jean C. Havez and Geo. L. Botsford,2
Irving Berlin,2
Frank Stammers,2
Albert Smyth,2
Wallace Munro,2
Melville Hammett,2
Roxana Clayton,2
Blanche Bates,2
Mary Roberts Rinehart,2
Alice Gerstenberg,2
Lewis Carroll,2
Eric Delamater,2
Joseph Flanagan,2
Author and Lyricist,2
George Bowles,2
F. C. Butler,2
Barney Rogers,2
Wm. Connor,2
M. T. Middleton,2
Thos. T. Hoyne,2
George M. Cohan,2
Harry Cowan,2
"Playwright of ""At the Art Gallery""",1
